ID du Bilan GES,Type de structure,Type de collectivité,Raison sociale / Nom de l'entité,Année de reporting,Date de publication,Mode de consolidation,Descriptif sommaire de l'activité,SIREN,Libellé,Région,Ville,Emissions publication P1 - tCO2e,Emissions publication P2 - tCO2e,Emissions publication P3 - tCO2e,Emissions publication P4 - tCO2e,Emissions publication P5 - tCO2e,Emissions publication P6 - tCO2e,Emissions publication P7 - tCO2e,Emissions publication P8 - tCO2e,Emissions publication P9 - tCO2e,Emissions publication P10 - tCO2e,Emissions publication P11 - tCO2e,Emissions publication P12 - tCO2e,Emissions publication P13 - tCO2e,Emissions publication P14 - tCO2e,Emissions publication P15 - tCO2e,Emissions publication P16 - tCO2e,Emissions publication P17 - tCO2e,Emissions publication P18 - tCO2e,Emissions publication P19 - tCO2e,Emissions publication P20 - tCO2e,Emissions publication P21 - tCO2e,Emissions publication P22 - tCO2e,Emissions publication P23 - tCO2e
1233,Entreprise,,FORD AQUITAINE INDUSTRIES,1/1/2014,9/22/2016,Opérationnel,"L'entreprise fabrique principalement des équipements pour le secteur automobile : des transmissions, doubles embrayages et carters de moteur",509678959.0,Fabrication d'autres équipements automobiles,,blanquefort,3820.0,5.0,290.0,0.0,85.0,2178.00,,,,,,,,,,,,,,,,,
1235,Entreprise,,FEU VERT,1/1/2014,9/26/2016,Opérationnel,COMMERCE DE DETAIL D'EQUIPEMENT AUTOMOBILE,327359980.0,Commerce de détail d'équipements automobiles,,ECULLY,1870.5,669.9,0.0,169.9,0.0,1241.10,0.00,531.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
1236,Entreprise,,INEO INFRACOM,1/1/2014,9/22/2016,Opérationnel,"Maîtrise d'?uvre, conception, études de réalisation, réalisation, déploiement, mise en service, maintenance corrective et préventive de tous types d'infrastructures de réseaux de télécommunication (filaire et radio) et de produits de supervision ou de contrôles. ",409867942.0,Construction de réseaux électriques et de télécommunications,,DIJON,46.0,0.0,0.0,73.0,0.0,56.00,0.00,14.00,,,,,6059.00,,,,,,,,,,
1238,Entreprise,,CERP RRM,1/1/2013,9/23/2016,Opérationnel,Grossiste Répartiteur; achat et stockage de médicament et autre produits en vue de leur distribution en gros aux pharmacies d'officine ainsi qu'aux autres ayants droit autorisés par le Code de la santé publique,535420533.0,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,,BELFORT,1033.43,4263.98,0.0,10.81,,419.23,,,,,,,,,,,,,,,,,
1239,Entreprise,,SAEML TAMM (Transports de l'agglomération de Metz Métropole),1/1/2014,9/23/2016,Opérationnel,Le réseau LE MET' est le nom du réseau de transport collectif du Périmètre de Transport Urbain (PTU) dont Metz Métropole est l'Autorité Organisatrice (AOTU).,538567793.0,Transports urbains et suburbains de voyageurs,,Metz,,7899.03,,,,oui,oui,,,,,,,,,,,,,,,,
1240,Etablissement public,,Centre Hospitalier d'ANGOULEME,1/1/2015,9/23/2016,Financier,Etablissement de soins,261600340.0,Activités hospitalières,,ANGOULEME,4665.0,109.0,,25.0,,oui,,oui,,,,,,,,,,,,,,,
1243,Association,,ADAPEI de la GIRONDE,1/1/2015,9/23/2016,Opérationnel,Accompagnement social et professionnel de personnes en situation de handicap,775585003.0,Aide à domicile,Nouvelle-Aquitaine,BORDEAUX,1358.0,573.0,,24.0,,239.00,,,,,,,,,,,,,,,,,
1244,Etablissement public,,centre hospitalier la valette,1/1/2015,9/26/2016,Opérationnel,"soins en psychiatrie (hospitalisation complète, cattp, hôpitaux de jour, centre de consultation) + ehpad + maison d'accueil spécialisée",262324700.0,Activités hospitalières,,saint vaury,873.0,158.0,0.0,419.0,0.0,12.00,0.00,214.00,500.00,59.00,119.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,933.0
1246,Entreprise,,Caisse Régionale MSA de Bourgogne,1/1/2015,9/8/2017,Financier,Organisme de protection sociale du monde agricole,488172347.0,Activités générales de sécurité sociale,,DIJON,292.0,292.0,0.0,29.0,,45.00,156.00,157.00,,,,,,,,,,,,,,,
1248,Entreprise,,VALRHONA,1/1/2015,9/28/2016,Opérationnel,Fabrication de chocolats,435480520.0,"Fabrication de cacao, chocolat et de produits de confiserie",,Tain l'hermitage,2014.0,27.0,525.0,540.0,0.0,968.00,0.00,,,,,,,,,,,,,,,,
1251,Entreprise,,RAZEL-BEC,1/1/2013,12/16/2016,Opérationnel,"Forte de son expertise dans tous les domaines des travaux publics, souterrains, ouvrages d'art, génie civil industriel, terrassements, routes, maîtrise de l'eau et de l'environnement et de sa capacité à piloter des grands projets, RAZEL-BEC aborde les opérations complexes et réalise des projets clés-en-mains. _x000D_
Filiale du Groupe FAYAT, RAZEL-BEC réalise un chiffre d'affaires prévisionnel de plus de 815_x000D_
millions d'euros. ",562136036.0,Travaux de terrassement courants et travaux préparatoires,,saclay,848.7,18991.6,,,,oui,,,,,,,,,,,,,,,,,
1254,Entreprise,,ESSILOR France,1/1/2014,9/26/2016,Opérationnel,"ESSILOR est une société française qui conçoit, fabrique et commercialise des verres correcteurs et des équipements d'optique ophtalmique.",712049618.0,Fabrication de lunettes,,Charenton,2950.0,785.0,0.0,980.0,0.0,2182.00,251.00,1592.00,1368.00,183.00,899.00,19735.00,11492.00,,,,,,,,,,
1255,Entreprise,,BBGR,1/1/2014,9/26/2016,Opérationnel,"BBGR est une société française qui conçoit, fabrique et commercialise des verres correcteurs._x000D_
_x000D_
BBGR est une filiale à 100% du Groupe Essilor",439605734.0,Activités des syndicats de salariés,,Paris,972.0,253.0,0.0,247.0,0.0,797.00,0.00,544.00,222.00,61.00,247.00,168.00,185.00,,,,,,,,,,
1256,Entreprise,,Fondation de Rothschild,1/1/2015,9/27/2016,Opérationnel,,775681091.0,Action sociale sans hébergement n.c.a.,,PARIS,753.0,16.0,0.0,45.0,0.0,95.00,1759.00,335.00,,,,,,,,,,,,,,,
1258,Collectivité territoriale (dont EPCI),Communes,Mairie de Paris,1/1/2014,9/29/2016,,,,,Île-de-France,,40556.0,17792.0,,1149.0,,24207.00,35041.00,23659.00,101003.00,29843.00,1717.00,8676.00,390.00,,,,,,,,,22071.0,
1260,Entreprise,,RAZEL-BEC,1/1/2016,12/16/2016,Opérationnel,"Forte de son expertise dans tous les domaines des travaux publics, souterrains, ouvrages d'art, génie civil industriel, terrassements, routes, maîtrise de l'eau et de sa capacité à piloter des grands projets, RAZEL-BEC aborde les opérations complexes et réalise des projets clés-en-mains. Filiale du Groupe FAYAT, RAZEL-BEC réalise un chiffre d'affaires prévisionnel de plus de 700 millions d'euros. ",562136036.0,Travaux de terrassement spécialisés ou de grande masse,,saclay,268.56,15785.24,,,,oui,,oui,,,,,,,,,,,,,,,
1261,Entreprise,,SOCIETE TRANE,1/1/2014,9/30/2016,Opérationnel,"Fabrication d'équipements aérauliques et frigorifiques industriels._x000D_
Commercialisation et service après-vente de tels équipements. ",306050188.0,Fabrication d'équipements aérauliques et frigorifiques industriels,,GOLBEY,2109.0,160.0,0.0,20798.0,0.0,426.00,0.00,,,,,,,,,,,,,,,,
1266,Entreprise,,Société d'Exploitation des Eaux et Thermes d'Enghien,1/1/2015,9/30/2016,Opérationnel,"Le Groupe Lucien Barrière est le leader du marché des casinos en France et en Suisse, et l'un des principaux acteurs de ce marché en Europe. Il est également une référence dans l'hôtellerie de luxe en France et bénéficie d'une forte notoriété dans les métiers de la restauration et des loisirs.",775742919.0,Autres activités récréatives et de loisirs,,Enghien-les-Bains,907.0,7.0,1.0,32.0,0.0,oui,,,,,,,,,,,,,,,,,
1267,Entreprise,,Société des Hôtels et Casino de Deauville,1/1/2015,9/30/2016,Opérationnel,"Le Groupe Lucien Barrière est le leader du marché des casinos en France et en Suisse, et l'un des principaux acteurs de ce marché en Europe. Il est également une référence dans l'hôtellerie de luxe en France et bénéficie d'une forte notoriété dans les métiers de la restauration et des loisirs._x000D_
_x000D_
A Deauville, le groupe Lucien Barrière, à travers la SHCD, gère trois hôtels, un casino et deux golfs. Une blanchisserie ainsi qu'un service traiteur le Lucien Barrière Evènements et Réceptions (LBER) s",475750337.0,Autres activités récréatives et de loisirs,,Deauville,2696.5,174.5,1.0,522.0,0.0,oui,,,,,,,,,,,,,,,,,
1268,Collectivité territoriale (dont EPCI),Communes,Ville de Marseille,1/1/2014,11/15/2017,,,,,Provence-Alpes-Côte d'Azur,,24222.0,3796.0,0.0,116.0,0.0,7786.00,0.00,8282.00,16556.00,33968.00,1489.00,0.00,271.00,0.00,0.00,103097.00,0.00,4.00,0.00,0.00,0.0,7703.0,0.0
1269,Entreprise,,Peugeot Citroën Sochaux SNC,1/1/2014,10/3/2016,Opérationnel,Construction de véhicules automobiles,414668194.0,Construction de véhicules automobiles,,sochaux,37751.44,11737.45,,5671.0,,17631.00,12087.00,,,,,,,,,,,,,,,,
1270,Etablissement public,,Centre Hospitalier de Denain,1/1/2015,10/3/2016,Opérationnel,"Le Centre Hospitalier de Denain est un hôpital de proximité qui dispense une offre de soins complète et diversifiée, avec un plateau technique moderne et un niveau de technicité reconnu dans les activités de médecine, de chirurgie, d'obstétrique, de soins aux personnes âgées et de psychiatrie.",265906818.0,Activités hospitalières,,Denain,1367.0,24.2,361.0,162.0,,oui,,oui,,oui,,,,,,,,,,,,,
1272,Etablissement public,,Centre Hospitalier Le Quesnoy,1/1/2015,10/3/2016,Opérationnel,"Le Centre Hospitalier Le Quesnoy est un établissement de santé publique. Il assure des soins dans les services de médecine, de moyen et long séjour, d'hébergement et de SSIAD.",265906933.0,Activités hospitalières,,Le Quesnoy,1185.0,20.17,5.0,16.0,,172.00,,294.00,,,,,,,,,,,,,,,
1273,Entreprise,,OTUS,1/1/2014,10/4/2016,Opérationnel,,622057594.0,Collecte des déchets non dangereux,,NANTERRE,188.0,9684.0,0.0,0.0,0.0,oui,,,,,,,,,,,,,,,,0.0,0.0
1274,Entreprise,,TAIS,1/1/2014,10/4/2016,Opérationnel,"TAIS est spécialisée dans les services de collecte de déchets non_x000D_
dangereux et de traitements des déchets auprès des collectivités et industries locales.",421345638.0,Collecte des déchets non dangereux,,NANTERRE,3010.0,8437.0,0.0,0.0,0.0,119.00,0.00,,,,,,,,,,,,,,,,
1275,Entreprise,,VEOLIA PROPRETE ILE-DE-FRANCE,1/1/2014,10/4/2016,Opérationnel,"VEOLIA Propreté Ile de France est spécialisée dans les services de_x000D_
collecte de déchets non dangereux.",608202727.0,Collecte des déchets non dangereux,,NANTERRE,164.0,4969.0,0.0,0.0,0.0,oui,,,,,,,,,,,,,,,,,
1277,Entreprise,,Industeel France,1/1/2014,10/4/2016,Opérationnel,Sidérurgie - Fabrication de tôles en aciers spéciaux,331310870.0,Sidérurgie,,Saint-Denis,51789.2,329.17,10578.0,111.71,,5116.00,0.00,,,,,,25.40,,,,,,,,,,
1278,Collectivité territoriale (dont EPCI),Communauté Urbaine,Communauté Urbaine de Dunkerque,1/1/2015,11/23/2016,,,,,Hauts de France,,379.0,9348.11,3815.0,50.0,,506.00,216.00,280.00,311.00,2540.00,32424.00,0.00,414.00,0.00,0.00,519.00,2052.00,58.00,0.00,0.00,0.0,1198.0,0.0
1283,Etablissement public,,Hôpitaux de Chartres,1/1/2015,10/6/2016,Financier,Etablissement de soins,262800048.0,Activités hospitalières,,CHARTRES,3272.0,96.0,,12.0,,oui,,oui,,,,,,,,,,,,,,,
1284,Etablissement public,,Centre Hospitalier,1/1/2014,10/6/2016,Opérationnel,"Le Centre Hospitalier Charles Perrens est un établissement Public de santé doté de la personnalité morale et sous tutelle de l'État représenté par l'Agence Régionale de Santé. Comme tous les hôpitaux publics, il est chargé d'une mission de service public en matière de diagnostic, de soins, d'enseignement et de recherche. Avec la sectorisation psychiatrique dont il a reçu en 1986 toute la responsabilité administrative et financière, ses missions s'étendent de la prévention à la postcure des malad",263305849.0,Activités hospitalières,,bordeaux,4192.1,409.0,0.0,36.0,2.0,294.00,0.00,,,,,,,,,,,,,,,,
1286,Entreprise,,"Casino, Guichard Perrachon",1/1/2015,10/7/2016,Opérationnel,Grande distribution (magasins + entrepots + services supports + ecommerce) / Périmètre France / toute société dépassant le seuil réglemetaire : Distribution Casino France / Casino Services / EMCD / Easydis / Codim2 / Casino Restauration / Franprix Leader Price / Cdiscount/ Groupe Monoprix,428268023.0,Hypermarchés,,ST ETIENNE,43369.0,104312.0,,644439.0,,119987.00,,,,,,,,,,,,,,,,,
1289,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Amiens Métropole,1/1/2014,12/2/2016,,,,,Hauts de France,,5767.0,11270.0,0.0,9.0,0.0,3105.00,676.00,5382.00,33697.00,2594.00,8238.00,0.00,411.00,0.00,0.00,8174.00,0.00,3.00,0.00,0.00,0.0,3831.0,0.0
1291,Entreprise,,SAINT LOUIS SUCRE,1/1/2015,10/10/2016,Opérationnel,"Production et commercialisation de sucre de betterave et de canne, et produits dérivés",602056749.0,Fabrication de sucre,,Paris,411628.0,432.0,,,,5065.00,,79912.00,,,,14893.00,,,,,,,,,,,
1292,Etablissement public,,GIRONDE HABITAT OPH,1/1/2014,10/11/2016,Opérationnel,"GIRONDE HABITAT est l'Office Public de l'Habitat (OPH) du Département de la Gironde. Présent sur 166 communes du territoire, les 320 salariés gèrent chaque jour 16000 logements et contribuent ainsi à répondre au besoin d'habiter en Gironde.",404877086.0,Location de logements,,BORDEAUX,9.0,263.0,0.0,26.0,0.0,oui,,,,,,,,,,,,,,,,,
1297,Etablissement public,,Etablissement sanitaire,1/1/2015,10/14/2016,Opérationnel,"Accueil des personnes âgées dépendantes en hébergement permanent, temporaire et accueil de jour",262501752.0,Hébergement médicalisé pour personnes âgées,,BESANCON,609.0,25.0,,,,oui,,,,,,,,,,,,,,,,,
1298,Etablissement public,,Centre Hospitalier Universitaire de Grenoble Alpes,1/1/2015,10/11/2016,Opérationnel,"Établissement hospitalier assurant:_x000D_
- une continuité de soin et de gestion des urgences 24h/24_x000D_
- des activités de recherche_x000D_
- L'enseignement et la formation en étroite collaboration avec les Unités de Formation et de recherche de médecine et de pharmacie, et les écoles paramédicales,_x000D_
- La prévention et l'éducation,_x000D_
_x000D_
",263800302.0,Activités hospitalières,,La Tronche,2177.0,841.0,0.0,258.0,0.0,2947.00,6679.00,1448.00,71985.00,7901.00,1839.00,3164.00,0.00,0.00,0.00,18496.00,474.00,0.00,0.00,0.00,0.0,44221.0,0.0
1300,Etablissement public,,Service Départemental d'Incendie et de Secours de la Vienne,1/1/2014,8/22/2017,Opérationnel,Sapeurs-Pompiers de la Vienne,288600224.0,Services du feu et de secours,,Futuroscope Chasseneuil,493.5,591.8,0.0,0.0,,98.70,,1.76,,,,,,,,,,,,,,,
1303,Entreprise,,Orange SA,1/1/2015,10/11/2016,Opérationnel,"Orange est un opérateur international de télécommunication et 1er opérateur en France._x000D_
L'activité principale est la prestation de services de télécommunication aux particuliers, aux entreprises et aux opérateurs internationaux._x000D_
",380129866.0,Télécommunications filaires,,Paris,43690.31,64134.02,,6270.37,,oui,oui,,,,,,,,,,,,,,,,
1305,Etablissement public,,Centre Hospitalier d'Ardèche Méridionale,1/1/2011,10/12/2016,Opérationnel,Santé,200011385.0,Activités hospitalières,,Aubenas,783.41,102.03,0.0,309.47,0.0,180.82,80.30,201.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
1307,Entreprise,,Ateliers d'Armançon,1/1/2014,10/12/2016,Opérationnel,Fabrication de pièces en cuir (maroquinerie) : sac a main etc,302264262.0,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",,Semur en Auxois,167.0,3.0,0.0,105.0,,55.00,,51.00,,1.00,,,,,,,,,,,,,
1311,Etablissement public,,Centre National de la Fonction Publique Territoriale,1/1/2014,10/31/2016,Opérationnel,"Le CNFPT est un établissement public administratif, paritaire et déconcentré, rattaché aux collectivités territoriales et à leurs établissements publics locaux (article 12 de la loi n° 84-53 du 26 janvier 1984). Ses missions de formation et d'emploi concourent à  l'accompagnement des collectivités territoriales et de leurs agents, dans leurs missions de service public.",180014045.0,Formation continue d'adultes,,PARIS,2119.0,498.0,0.0,0.0,0.0,oui,oui,oui,,oui,,,,,,,,,,,,0.0,0.0
1315,Entreprise,,Centre Hospitalier d'Ardèche Méridionale,1/1/2015,10/19/2016,Opérationnel,"Santé, Soins.",200011385.0,Activités hospitalières,,Aubenas,719.68,105.12,0.0,138.64,0.0,205.91,88.00,193.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
1318,Entreprise,,Umicore Building Products France,1/1/2015,10/13/2016,Financier,"Fabrique et commercialise des solutions en zinc laminé pour l'enveloppe des bâtiments (systèmes d'évacuation d'eaux pluviales, couvertures et façades) sous le nom de la marque commerciale VMZINC.",509378386.0,"Métallurgie du plomb, du zinc ou de l'étain",,BAGNOLET,10806.0,215.0,0.0,2.0,0.0,2553.00,0.00,,,,,,,,,,,,,,,,
1319,Entreprise,,PHOTONIS FRANCE SAS,1/1/2014,10/13/2016,Opérationnel,FABRICATION DEVELOPPEMENT DE COMPOSANTS OPTO-ELECTRONIQUES,383300597.0,Fabrication de composants électroniques,,BRIVE,295.0,33.13,0.01,35.12,0.0,715.34,0.00,,,,,,,,,,,,,,,,
1320,Association,,Fondation Ophtalmologique A. De Rothschild,1/1/2015,10/13/2016,Opérationnel,"La Fondation Ophtalmologique A. de Rothschild est un Etablissement de Santé Privé d'Intérêt Collectif (ESPIC) spécialisé depuis plus d'un siècle, sur les prises en charges des maladies de la tête et du cou de l'enfant et de l'adulte (ophtalmologie, neurologie, neurochirurgie, neuroradiologie interventionnelle, ORL)._x000D_
",784778029.0,Activités hospitalières,Île-de-France,Paris,941.3,4.0,,,,oui,,,,,,,,,,,,,,,,,
1321,Collectivité territoriale (dont EPCI),Départements,Conseil départemental de l'Essonne,1/1/2015,12/5/2016,,,,,Île-de-France,,11387.0,3127.0,0.0,250.0,0.0,1675.00,1454.00,3728.00,10785.00,16700.00,4526.00,0.00,1038.00,0.00,0.00,17144.00,0.00,0.00,0.00,0.00,0.0,6714.0,0.0
1328,Entreprise,,HM CLAUSE SA,1/1/2015,10/14/2016,Opérationnel,"HM CLAUSE sélectionne, produit et commercialise des semences potagères destinées aux professionnels",435480546.0,"Culture de légumes, de melons, de racines et de tubercules",,Portes-LÃ¨s-Valence,3546.0,392.0,,270.0,,oui,,,,,,,,,,,,,,,,,
1330,Etablissement public,,Centre Hospitalier de Valenciennes,1/1/2015,10/17/2016,Opérationnel,"Avec une capacité de près de 2 000 lits dont plus de la moitié en court séjour, le volume d'activité du CHV représente l'offre de soins la plus significative du sud du département du Nord. Il a été choisi pour être l'hôpital de référence du bassin de vie en amont du Centre Hospitalier Régional Universitaire de Lille et pour les autres hôpitaux du territoire de santé du Hainaut. Il est le 3ème établissement en importance de la Région Hauts-de-France et l'un des 30 plus importants hôpitaux de Fran",265906735.0,Activités hospitalières,,Valenciennes,8529.0,256.13,2020.0,404.0,,1543.00,,2262.00,,,,,,,,,,,,,,,
1333,Entreprise,,SEMCODA,1/1/2015,10/17/2016,Opérationnel,Construction et gestion de logements sociaux,759200751.0,Location de logements,,BOURG EN BRESSE,14116.0,0.0,0.0,0.0,0.0,861.00,,0.00,584.00,0.00,688.40,0.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,6.0,0.0
1334,Entreprise,,L'Est Républicain,1/1/2015,10/17/2016,Opérationnel,"Presse Quotidienne Régionale_x000D_
Rédaction, impression et diffusion du journal ""L'Est Républicain"".",756802328.0,Activités de pré-presse,,Houdemont,689.0,451.0,0.0,0.0,,oui,,,,,,,,,,,,,,,,,
1335,Entreprise,,SAMSE,1/1/2014,10/18/2016,Opérationnel,Négoce de matériaux de construction,56502248.0,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,,GRENOBLE,1327.0,4224.0,,111.0,,525.00,,,,,,,,,,,,,,,,,
1336,Entreprise,,Entreprise Malet,1/1/2014,10/17/2016,Opérationnel,Travaux Publics,302698873.0,Construction de routes et autoroutes,,TOULOUSE,13611.0,5526.0,2.0,0.0,0.0,oui,,,,,,,,,,,,,,,,0.0,0.0
1339,Etablissement public,,UGAP,1/1/2015,9/15/2017,Opérationnel,Centrale d'achats du secteur public,776056467.0,Centrales d'achat non alimentaires,,Champs-sur-Marne,4.0,1362.0,138.0,0.0,0.0,127.00,0.00,364.00,3149.00,1425.00,134.00,0.00,111.00,,,,,,,,,844.0,748.0
1342,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Communauté d'agglomération de Cambrai,1/1/2014,10/19/2016,,,,,Hauts de France,,906.0,906.0,1110.0,1110.0,0.0,,,,,,oui,oui,,,oui,oui,,,,,,0.0,0.0
1343,Etablissement public,,Centre Hospitalier LES MURETS,1/1/2015,10/19/2016,Financier,Le Centre Hospitalier Les Murets (CHM) est l'un des six établissements publics de santé qui couvrent les 17 secteurs de psychiatrie générale du Val-de-Marne. Il répond aux besoins en santé mentale des patients adultes du nord-est du Val-de-Marne (soit environ 326 000 habitants de plus de 20 ans sur 14 communes) et gère cinq secteurs de psychiatrie générale.,269401345.0,Activités hospitalières,,La Queue En Brie,1504.0,76.0,,108.0,,oui,,oui,,,,,,,,,,,,,,,
1345,Entreprise,,Bouygues Travaux Publics Régions France,1/1/2015,10/24/2016,Opérationnel,"Bouygues Travaux Publics Régions France est une entreprise du secteur du BTP présente sur les secteurs d'activité suivants :_x000D_
? Ouvrages d'Art._x000D_
? Travaux Fluviaux et Maritimes._x000D_
? Précontrainte, Réparation et Renforcement de structures. Conception et réalisation de travaux de précontrainte, de haubanage, de vérinage et de manutention sous la marque VSL France exploitée par BOUYGUES TP REGIONS FRANCE._x000D_
? Travaux de Services, associés aux secteurs d'activités ci-avant, déclinés dans toutes les di",722069366.0,Construction d'ouvrages d'art,,LabÃ¨ge,9.0,1951.0,0.0,0.0,0.0,oui,,,,,,,,,,,,,,,,,
1346,Etablissement public,,MIPIH,1/1/2014,10/20/2016,Opérationnel,"Le MiPih (Midi Picardie Informatique Hospitalière) est une structure publique de coopération inter-hospitalière spécialisée dans la construction du système d'information hospitalier._x000D_
La pertinence et la qualité de son offre de logiciels et de services en système d'information ont fait du MiPih l'un des acteurs majeurs et incontournables des Systèmes d'Information Hospitaliers.",183100213.0,Administration publique générale,,TOULOUSE,3.49,115.52,0.0,,,64.14,,,,,,,,,,,,,,,,,
1347,Etablissement public,,Centre hospitalier Albi,1/1/2014,12/19/2016,Opérationnel,Activités Hospitalières,268100013.0,Activités hospitalières,,ALBI,1638.22,84.01,151.0,159.0,,339.00,,414.00,,,,,,,,,,,,,,,
1349,Entreprise,,INSTITUT CAMILLE MIRET,1/1/2015,10/20/2016,Opérationnel,"L'Institut Camille Miret est une association Loi 1901 à but non lucratif, participant au service public hospitalier (PSPH). Elle est spécialisée dans la prise en charge de la santé mentale dans le département du Lot.",308186758.0,Activités hospitalières,,LEYME,1887.0,304.7,,159.0,,104.20,,,2237.90,1179.50,536.40,717.90,5.10,,,,67.50,,,,,2264.7,
1350,Entreprise,,Caisse d'Allocations Familiales de la Haute-Garonne,1/1/2014,10/20/2016,Opérationnel,"Les Caisses Allocations familiales accompagnent les familles dans leur vie quotidienne.  Acteur majeur de la solidarité nationale, la Branche Famille est un réseau piloté par la Caisse Nationale des Allocations Familiales, présent sur tout le territoire grâce aux 102 caisses d'Allocations Familiales. Mobilisées au service des allocataires, les Caf prennent en charge les prestations légales et développent une action sociale familiale sur leurs territoires.",776950446.0,Distribution sociale de revenus,,Toulouse,164.0,19.0,0.0,0.0,0.0,66.00,0.00,60.00,818.00,556.00,28.00,53.00,98.00,0.00,0.00,1122.00,0.00,0.00,0.00,0.00,0.0,454.0,0.0
1351,Entreprise,,HMY FRANCE,1/1/2014,10/20/2016,Opérationnel,"Industrie métallurgique, concevant, fabriquant et installant des aménagements pour les espaces de ventes",316016930.0,Fabrication de meubles de bureau et de magasin,,MONETEAU,5472.0,862.0,0.0,29.0,0.0,312.00,0.00,1295.00,50643.00,1707.00,306.00,1670.00,306.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1898.0
1353,Association,,ADAPEI 69,1/1/2014,10/20/2016,Opérationnel,"Association,  l'ADAPEI  69 est  au  service  de  la  personne  en situation de handicap du fait d'une déficience intellectuelle ou mentale prédominante, durable et permanente avec ou sans troubles associés, et particulièrement des personnes sans réponse adaptée.",775648280.0,Action sociale sans hébergement n.c.a.,Auvergne-Rhône-Alpes,LYON,2451.0,425.0,0.0,212.0,0.0,179.00,0.00,,,,,,,,,,,,,,,,
1354,Entreprise,,LA BOITE A OUTILS,1/1/2014,10/21/2016,Opérationnel,Commerce de détail du bricolage et de la décoration,779463223.0,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)",,Grenoble,966.0,695.0,,119.0,,584.00,,,,,,,,,,,,,,,,,
1357,Etablissement public,,INSTITUT NATIONAL DE L'INFORMATION GEOGRAPHIQUE ET FORESTIERE (IGN),1/1/2015,10/21/2016,Opérationnel,"L'Institut national de l'information géographique et forestière (IGN) a pour vocation de décrire, d'un point de vue géométrique et physique, la surface du territoire national et l'occupation de son sol, d'élaborer et de mettre à jour l'inventaire permanent des ressources forestières nationales._x000D_
Il produit toutes les représentations appropriées des données ainsi rassemblées, les diffuse et les archive._x000D_
Il contribue ainsi à l'aménagement du territoire, au développement durable et à la protection",180067019.0,Administration publique (tutelle) des activités économiques,,saint mandÃ©,1905.0,2092.0,,205.0,,482.00,,1024.00,5.00,,,,,,,,,,1.00,,,,
1363,Entreprise,,Sapa Building Systems France,1/1/2015,11/21/2016,Opérationnel,"Conception, production et commercialisation de systèmes de menuiseries en aluminium anodisé ou laqué",451221295.0,Commerce de gros (commerce interentreprises) de minerais et métaux,,toulouse,9582.0,776.0,0.0,0.0,0.0,830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
1366,Entreprise,,Maisons du Monde,1/1/2015,12/16/2016,Opérationnel,"La société Maisons du Monde France est spécialisée dans l'équipement et la décoration de la maison. Depuis sa création en 1966, Maisons Du Monde France connait un succès fulgurant. L'entreprise est présente en France, en Europe et en Suisse. Elle compte aujourd'hui plus de 260 magasins. Son succès repose sur les investissements substantiels, tant humains que financiers, qu'elle réalise chaque année pour concevoir de nouvelles collections et les présenter dans des atmosphères recherchées qui évei",383196656.0,Commerce de détail d'autres équipements du foyer,,vertou,113.0,2253.0,,504.0,,1821.00,29.00,,,,,,830.00,,,,,,,,,,
1368,Entreprise,,Nestlé Waters Supply Sud,1/1/2014,10/31/2016,Opérationnel,,702034398.0,Apprêt et tannage des cuirs ; préparation et teinture des fourrures,,VERGEZE,335.0,925.0,,134.0,,1359.00,3654.00,,,,,,,,,,,,,,,,
1369,Collectivité territoriale (dont EPCI),Départements,Conseil départemental de la Manche,1/1/2015,11/7/2016,,,,,Normandie,,4972.41,3805.23,0.0,0.0,0.0,oui,oui,,,,,,,,,,,,,,,,
1371,Entreprise,,TN INTERNATIONAL,1/1/2014,10/25/2016,Opérationnel,"TN International, (nom commercial Areva TN) est la société leader de la Nuclear Logistic Operation (NLO) du Groupe AREVA. Elle est responsable de la vente, de la préparation et de la réalisation de prestations liées à la logistique du transport et de l'entreposage de matières nucléaires ou radioactives et d'équipements irradiés ou contaminés, et en particulier :_x000D_
1. La conception, l'agrément, la fabrication, la fourniture, l'exploitation, la maintenance d'équipements tels que des emballages de t",602039299.0,Affrètement et organisation des transports,,MONTIGNY LE BRETONNEUX,62.05,38.42,,,,oui,,,,,,,,,,,,,,,,,
